प्रसिद्ध,Famous
प्रयोगात्मक,Experimental
फार्मूले,Formulas
इंजेक्शन,Injection
अफसोस,to regret
जाग,Awake
अराजकता,Anarchy
तबाही,Devastation
किफायती,Economical
दुश्मनों,Enemies
अभियान,The campaign
प्रतिशोध,the revenge
जटिलताओं,Complications
गरीब,poor
ंयायाधीश,Judicial officer
रक्तमय,Bloody
चार,Four
जवाब,answer
राय,opinion
सफेद,White
खून,Blood
तकनीक,Technique
इस्तेमाल,Use
जॉर्डन,Jordan
ड्रेस,The dress
ंयू,IU
प्रतिबंध,Restriction
लगा,felt
फांसी,The hanging
लाश,dead body
सौदा,Deal
सहानुभूति,Sympathy
है-यह,is this
स्पष्टीकरण,the explanation
उठता,Arise
प्रयोग,Experiment
परीक्षण,testing
नियमों,The rules
मंजूरी,Approval
कैंयन,Canyon
योगदान,Contribution
संक्रमण,Infection
काटने,Cutting
फैला,Spread out
असामांय,Asamany
सिर,The head
अनुपस्थिति,Absence
साबित,Proved
जगुआर,Jaguar
कराहना,Groan
ग्रेच्युटी,Gratuity
भाड़े,Hire
पियर्स,Pierce
Brosnan,Brosnan
नवीनतम,Latest
बॉण्ड,Bond
हत्यारा,killer
बूढ़ा,Old man
थक,Tired
ग्रेग,Greg
सीधे,Straight
अलग,Apart
जिंदगी,life
दिखाती,Shows
ड्रिंक,Drinks
अचानक,suddenly
घटनाओं,Events
पायदान,Footboard
प्रफुल्लित,Hilarious
Galactica,Galactica
BSG,BSG
तनिक,The same
भविष्य,Future
नाटकीय,Theatrical
लीड,Lead
अनुभवी,Experienced
चुना,Chosen
Stoltz,Stoltz
संयुक्त,Joint
बेटी,daughter
फर्क,The difference
पड़ता,Fall
लागत,Cost
पाउला,Paula
प्रसिद्धि,Fame
मंशा,Desire
यकीन,believe
पायलट,Pilot
पेचीदा,Complicated
झो,Zoe
निर्माण,Construction
सितारा,Star
रिश्तेदार,Relative
अज्ञात,Unknown
Alessandra,Alessandra
निभाई,Played
Esai,Esai
इच्छा,wish
गलत,wrong
विचार,idea
जाए,Go
नैतिक,Ethical
घोषणा,Declaration
मंच,Forum
रोमांचित,Thrilled
प्रभावित,influenced
रिस,Resentment
रोबोटों,Robots
विभिंन,Different
रख,Keep it
ताकि,So that
टाइप,Type
कचरे,The waste
@,@
करो,Do it
तुमसे,To you
हूँ,I am
बन,become
आई,Mother
सका,Could
माइक,Mike
सुलिवान,Sullivan
तरीके,Ways
टॉम,Tom
हैंक्स,Hanks
टायलर,Tyler
भावनात्मक,Emotional
बजाना,playing
दिग्गज,Great
ंयूमैन,The US
एलन,Allen
रिचर्ड,Richard
बोल्ड,Bold
ग्राफिक,Graphic
उपन्यास,The novel
बेटे,The son
अंदर,inside
उदार,generous
इसलिए,So
ऋण,Loan
सुरक्षित,Safe
रखने,Keep
मालिक,owner
वफादारी,Loyalty
गले,Throat
लेंगे,Will take
डेविड,David
स्व,Self
अनुकूलन,Adaptation
बातचीत,chit chat
गुणी,Quality
1930,1930
सेटिंग,Settings
करेंगी,Will do
एल,L
जॉनसन,Johnson
कला,art
बाहरी,Outside
अंधेरी,Andheri
बरसात,rain
बर्फ,ice
आयरिश,Irish
बसने,Settle down
तत्व,Element
हॉल,Hall
फोटोग्राफी,Photography
फिल्में,Movies
देखती,Sees
शिकागो,Chicago
प्रवेश,enter
प्रभावशाली,Impressive
विंडशील्ड,Windshield
खुलासा,Revealing
चारों,All around
ओर,And
खिड़की,Window
सहकर्मी,fellow employee
ट्रकों,Trucks
कास्ट,cast
क्रू,Crew
सिद्धांत,theory
बेशर्मी,Shamelessness
सैम,Sam
Mendes,Mendes
१९९९,1999
फीचर,Features
विभिन्न,Different
पुरस्कार,Award
जीते,To win
ब्रिटिश,The British
फैसला,Decision
स्थानांतरित,Moved
चिह्नित,Marked
एंड,End
करती,Do
सच्ची,True
थीम,Theme
बखूबी,Well done
व्यक्त,Express
बेशर्म,shameless
घराना,House
एक्टिंग,Acting
स्टोरी,story
गिरोह,the gang
वर्ष,The year
आश्वस्त,Convinced
प्रतियोगिता,Contest
लक्षण,Symptoms
अनिद्रा,Insomnia
अल्पसंख्यक,Minority
रिपोर्ट,Report
बयान,Statement
ऑस्ट्रेलिया,Australia
विलियम,William
भद्दा,Crappy
दिखाई,Visible
toned,toned
ऐसा,Like this
सड़ा,Rotten
ह्यूगो,Hugo
मोंटी,Monty
लांग,Long
लंबी,Long
कुल,The total
सदमे,Shock
मार्टिन,Martin
अग्रणी,Leading
डाल,Put
कार्यक्रम,program
मोड़,turn
कमीज़,Shirt
मूल्यांकन,Evaluation
8/10,8/10
आज,today
ग्रीन,Green
अस्तित्व,the existence
पूछो,Ask
वैसे,By the way
ग्रह,Planet
उदासीन,Indifferent
उम्र,Ages
लेती,Taking
अमीर,rich
किस्मत,luck
रियलिटी,Reality
मूर्खता,Folly
ब्रेन,Brain
खुफिया,Intelligence
प्रगति,Progress
लिखने,To write
आपके,your
राजनीतिज्ञ,Politician
पूछना,ask
स्टीवर्ट,Stewart
बदला,Revenge
राइफल,Rifle
संबंधों,Relations
ठंडा,cold
जुनून,passion
जोड़ने,To add
चरवाहे,Cowboy
रखी,Kept
मालिकों,Owners
जीता,Won
शिकार,Prey
जुआरी,the gambler
बंदूक,gun
भारतीय,Indian
चयन,Selection
पथ,The path
मिलो,Meet
इयान,Ian
लड़ाइयों,Battles
डकैती,Robbery
आदि,e.t.c
दान,Donation
जॉनी,Johnny
डीन,Dean
खुजली,itching
ट्रिगर,Trigger
उंगली,Finger
तार,Wire
सामान्य,Normal
ज्ञान,Knowledge
रॉक,Rock
हडसन,Hudson
उपस्थिति,Presence
तसलीम,Showdown
तनाव,Tension
लड़ाई,fight
फसल,crop
दूरी,Distance
लड़ा,Fought
पीठ,the back
कार्य,Work
ना,No
Falk,Falk
सराहना,To appreciate
दीवार,Wall
मक्खी,fly
व्यावहारिक,Practical
चक्कर,affair
पी,P
पौलुस,Paul
फोन,phone
कितना,How much
उसका,His
नंबर,Number
होना,Happen
एह,Eh
चलो,Let's go
है-मैं,Is-me
दुखद,Sad
बढ़ने,To grow
वालों,The ones
हड्डी,Bone
चौंकाने,Startled
वाला,The one
हिंमत,Courage
उड़ाने,Blow
द्रुतशीतन,Chilling
एच,H
खोने,To lose
भूतिया,Ghost
कल्पना,imagination
किरकिरा,Gritty
कैमरा-काम,Camera work
संवाद,conversation
विशेषता,Specialty
वीर,Brave
रक्तपात,Bloodshed
एक्शन,Action
मुकदमा,court case
मूल्य,value
दासता,Slavery
हड़ताली,Striking
लोहे,Iron
विरोध,against
कीमत,cost
बिल्डर,Builder
अमूल्य,Priceless
मणि,Mani
भागों,The parts
शिकारी,Hunter
विज्ञान-fi,Science-fi
मुद्दा,Issue
ए,a
प्रतिभा,Talent
दिखा,Showing
उबाऊ,boring
अगली,Next
कड़ी,hard
अफ़सोस,regret
है-,is-
शनिवार,Saturday
बुखार,fever
Travolta,Travolta
तेल,oil
लड़की,girl
भावनाओं,Emotions
नेतृत्व,Leadership
सुअर,The pig
यांत्रिक,Mechanical
बैल,The bull
सवारी,Ride
संलग्न,attachment
सोचता,Thinks
मर्दानगी,Manhood
१९८०,1980
देश,Country
ट्रेन,train
मलबे,Debris
एडीआइ,Adi
सदस्यों,The members
असीम,Infinite
उद्धृत,Cited
लिटिल,Little
वादा,promise
विश्व,world
नर्तकी,Dancer
हांगकांग,Hong Kong
वीसीडी,VCD
वितरकों,Distributors
डॉलर,Dollar
व्यभिचारी,Immoral
दिनों,Days
पकड़ा,Caught
निक,Nick
अपहरण,Kidnapping
लुइस,Louis
इटली,Italy
Charlotte,Charlotte
विवियन,Vivian
समस्याओं,the problems
हल्के,Lightweight
शादी,wedding
फास्ट,Fast
इलाज,treatment
शारीरिक,Body
मानसिक,Mental
प्रौद्योगिकी,The technology
क्षेत्रों,Areas
गतिशीलता,Mobility
वैवाहिक,Matrimonial
प्रतिबद्धता,Commitment
परिस्थितियों,The circumstances
चुनना,to select
पूछता,Asks
गिर,Fall
विकास,development
अनुभव,experience
मजबूर,helpless
अधिकांश,majority of
दर्शकों,Viewers
प्रतिकार,Resistance
विश्वासघात,Betrayal
अधिनियम,Act
मुद्रा,Currency
विकसित,Developed
उपेक्षा,Neglect
जानी,Know
होटल,hotels
रोता,Cry
लुभावनी,Breathtaking
कयामत,Apocalypse
धीमा,Slow
अपरिहार्य,Indispensable
संकेत,Sign
पृथ्वी,Earth
संदेह,Doubt
--,-
प्रकृति,nature
त्रस्त,Stricken
लालच,greed
सार,abstract
कैंसर,Cancer
मेजबान,The host
भस्म,Consume
जाते,Goes
है..,is..
निर्मित,Manufactured
परिदृश्य,Landscape
अविस्मरणीय,Unforgettable
उसी,The same
संबंध,relation
miniseries,miniseries
प्रिय,Dear
जेन,Jane
आयर,Ary
व्याख्या,Interpretation
क्लार्क,Clark
रोचेस्टर,Rochester
पिछली,The last
13,13
कीड़ा,Worm
उपंयास,Deprivation
मंत्रमुग्ध,Charmed
लापता,Missing
-,-
नज़र,Eye
फुटपाथ,Footpath
प्रतीत,Seemingly
गुण,a quality
ओटो,Otto
मिंगल,Mingle
निर्देशित,Guided
दाना,Grain
एंड्रयूज,Andrews
Tierney,Tierney
साधन,Resources
परिष्कृत,Refined
निपटा,Dealt
हत्या,the killing
मिला,met
ये,these
बमुश्किल,Barely
निकल,Out
पार्टियों,Parties
समाज,society
विद्रोह,Revolt
आदी,Addicted
हताश,Desperate
भरी,Loaded
दर्जन,Dozen
नियमित,Regular
बदमाशों,Bad guys
हरा,Green
जांच,the inspection
प्राकृतिक,Natural
पूरे,The whole
सार्जेंट,Sergeant
मार्क,Mark
डिक्सन,Dixon
गलती,mistake
अप,Up
हालात,The circumstances
जटिल,Complex
मॉर्गन,Morgan
टेलर,Tailor
संदिग्ध,Doubtful
फंसाने,To trap
बूढ़े,Old
साफ,clean
सुविधाएं,Facilities
धूमिल,Foggy
बाकी,the rest
आरोप,blame
लगाया,Planted
टुली,Tully
व्यवस्था,the arrangement
मिलाकर,Together
एकदम,At once
बेस्वाद,Tasteless
पॉलिश,Polish
कोमल,Gentle
दयालु,compassionate
भरोसा,Trust
यथार्थवाद,Realism
जोड़ें,Add
रक्त,blood
महल,Palace
आतंक,Terror
जाती,Species
निदेशक,Director
एंथनी,Anthony
डावसन,Dawson
डबिंग,Dubbing
कास्टिंग,Casting
तार्किक,Logical
पटकथा,Script
जानबूझकर,intentionally
पेसिंग,Pacing
सस्ती,Inexpensive
एलिजाबेथ,Elizabeth
जॉर्ज,George
Rivière,Riviere
अंयथा,Inexhaustible
मार्च,March
इंग्लैंड,England
पो,Po
पब,Pub
बैठते,Sits
भूतों,Ghosts
ब्लैकवुड,Blackwood
गिनती,Count
समाचार,news
रिपोर्टर,Reporter
साक्षात्कार,Interview
पहचानने,Recognizing
कहानियां,Stories
सत्य,truth
बदगुमान,Ill-fated
गणना,Calculation
पाउंड,Pound
कैसल,Castle
हेलोवीन,Halloween
रह,Stay
चलना,to walk
मारियो,Mario
Bava,Bava
काला,Black
रविवार,Sunday
शैतान,Devil
मुखौटा,Mask
क्षण,The moment
60,60
जुड़े,Connected
संस्करण,Edition
बुरी,Bad
दर्ज,Enter
पैन,The pan
रीमेक,Remake
Ricci,Ricci
जेनिफर,Jennifer
लव,Love
हेविट,Hewitt
सता,Hauteur
लें,Take
क्यूबा,Cuba
पारंपरिक,Traditional
१९५८,1958
क्रांति,The revolution
11,11
ब्यौरा,Details
खर्च,Expenditure
शासन,Governance
संपत्ति,Property
ली,Lee
बहुमत,majority
रिश्तों,Relationships
संबंधित,related
निर्देशन,Directing
योजनाओं,Plans
twists,twists
गलतियों,Mistakes
बनी,Made
हेनरी,Henry
JFK,JFK
बदतर,Worse
राष्ट्रपति,President
सरकारी,The government
लोन,Loan
सिद्धांतों,Theories
सरकार,Government
संरचना,The structure
खो,Lost
तुमने,you
हैरी,Harry
रूस,Russia
चरम,Extreme
नशीली,Intoxicated
दीवानी,Mad
बदमाश,naughty
पागलपन,Madness
नष्ट,Destroyed
डमी,Dummy
प्रेरित,Induced
होड़,Competition
रॉन,Ron
Atkins,Atkins
किस्त,Installment
फिल्मी,filmy
समान,same
हकदार,Entitled
सबके,Everybody
परेशान,worried
विभीषण,Vibhishan
डे,Day
चीख,the Scream
दर्शक,the audience
विवेक,Discretion
सलाह,advice
Barbra,Barbra
पक्षपाती,Partisan
खामियां,Flaws
देर,late
स्क्रीन,The screen
Streisand,Streisand
संतुष्ट,Satisfied
लाइव,Live
ताजा,Fresh
शुल्क,The duty
विस्तारित,extended guideline
फ्रेम,Frame
समापन,ending
प्रशंसा,appreciation
बोलती,Speaks
मृतक,The deceased
23,23
समर्पित,Dedicated
निर्माताओं,The makers
शब्दों,The words
शीर्षक,Title
दिग्गजों,Giants
बदलने,To change
किशोरावस्था,Adolescence
कील,Nail
स्पॉट,The spot
फुट,Feet
ग्रस्त,Suffused
12,12
पैर,Leg
यही,This only
खौफ,Awe
जेफ,Jeff
छपने,Appearances
नश्वर,Mortal
आवारा,vagabond
पानी,Water
सुरक्षा,Security
नियम,Rule
समझदार,Wise
बताने,tell
जाऊंगा,would go
७५,75
डिग्री,Degree
शार्क,Shark
जबड़े,Jaw
लहरों,The waves
पहला,The first
डरावनी,Horror
लहरें,The waves
हैमिल्टन,Hamilton
४०,40
उड़ा,Blow up
लहर,Wave
सवार,The rider
केंद्रित,Centered
9,9
उल्लेख,mention
केन,Ken
केबिन,Cabin
सिडनी,Sydney
२००२,2002
समलैंगिक,Gay
समारोह,The ceremony
लिख,Write
अंतिम,The last
संस्कार,sacraments
मिलते,Meet
एड्स,AIDS
वार्मिंग,Warming
कृत्यों,Acts
0,0
कोशिकाओं,Cells
कार्यरत,working
यथार्थवादी,Realistic
बेटा,son
निकट,Close
सरल,easy
जंगल,Forest
ठोकर,Stumble
समझाने,To explain
डायलॉग,Dialog
उपलब्ध,available
कराया,Made
कथा,The story
वुड्स,Woods
अकेलेपन,Lonely
पूरक,Complement
अक्षमता,Inability
लाचारी,Helplessness
खामोशी,Silence
असमर्थता,Inability
समानताएं,Similarities
निराशा,Disappointment
तत्वों,Elements
गोर,Gore
चतुराई,Dexterity
खौफनाक,Creepy
तुम्,You
अप्रत्याशित,Unexpected
जापानी,Japani
अंग्रेजी,English
ब्लैक,The black
लेडी,Lady
माहौल,The atmosphere
डराने,Scare
देते,Gives
जिन,Jin
उन्हें,them
विस्तृत,Detailed
बिट्स,Bits
कॉफी,Coffee
कप,The cup
बाल,hair
आएगा,Will come
हिस्पैनिक,Hispanic
विशिष्ट,Specific
कोसने,Cursing
मत,Vote
रेटिंग,Rating
6,6
Doodlebops,Doodlebops
आओ,come
गा,Sing
रंग,colour
आनन्द,The joy
लाता,Brings
प्रचार,Publicity
रोजमर्रा,Everyday
चुनौतियों,The challenges
टेलीविजन,Television
कार्यक्रमों,Programs
ताज़ा,Fresh
स्वतंत्र,Independent
सारी,all
चीज़ें,Things
मिलने,Meet
अभूतपूर्व,Unprecedented
डिज्नी,Disney
समस्या,Problem
वयस्क,Adult
किशोर,Adolescent
कमाल,amazing
त्योहार,Festival
गर्व,Proud
उत्साहित,Excited
स्थानों,Places
सोने,The gold
Giovanni,Giovanni
चोर,thief
डिलीवरी,Delivery
खिलवाड़,Flirtation
जिसने,Whosoever
रान्डेल,Randall
निकोलस,Nicholas
पिंजरे,Cage
सेवानिवृत्त,Retired
जोड़े,Couple
पुराना,old
मुसीबत,problem
दिनचर्या,a routine
पूर्वानुमान,Forecast
महंगी,Expensive
हॉट,hot
आइटम,item
बोलबाला,Sway
जोली,Jolie
मुझ,Me
कायल,Convincing
सेक्सी,sexy
जीवनी,Biography
मुख्यधारा,Mainstream
बिट,Bit
टैटू,Tattoos
नकारात्मक,Negative
अवास्तविक,Unrealistic
चुटकुले,Jokes
अरे,Hey
कौन,Who
ब्रुखिमर,Bruckheimer
तर्ज,Lines
आँखें,Eyes
गीला,The wet
कारें,Cars
श्रीमती,Mrs.
उपकरण,equipment
बढ़ावा,Boost
तरीका,way
आजकल,now-a-days
चुनाव,Election
हवा,air
सांप,snake
आंखें,Eyes
इतने,So much
थ्रिलर,Thriller
जैकी,Jackie
चान,Chan
रखो,Please Keep
8,8
मिमी,Mm
मानता,agrees
पूछा,Asked
कॉनरी,Connery
एड,Ad
खेलने,Play
कांग्रेस,Congress
तेजी,Fast
सक्षम,capable
एंजेलीना,Angelina
चुंबन,Kiss
प्रतीक्षा,Wait
निषिद्ध,Forbidden
एस,s
एफ,F
यान,The vehicle
रोबी,Robbie
डॉ,Dr.
मासूम,Innocent
निवासियों,The inhabitants
स्टूडियो,studio
खतरे,The danger
लुई,Louie
इलेक्ट्रॉनिक,Electronic
वातावरण,The atmosphere
जोड़ता,Connects
हैरान,astonished
२५०,250
IMDB,IMDB
आधी,Before
Koltai,Koltai
शाम,evening
लाइन,The line
शर्मनाक,Shameful
वैनेसा,Vanessa
रेडग्रेव,Redgrave
बोलना,to speak
सादगी,Simplicity
Minot,Minot
भावुकता,Sentimentality
सराहनीय,Appreciable
भागीदारी,Participation
छह,Six
यादगार,Memorable
सार्थक,meaningful
ज़ाहिर,Of course
सारा,Sara
उससे,From him
हॉलीवुड,Hollywood
नताशा,Natasha
रिचर्डसन,Richardson
Meryl,Meryl
स्ट्रीप,Stripe
Gummer,Gummer
सेलिब्रिटी,Celebrity
वाहन,Vehicle
बहन,sister
सेल्फी,Selfie
अवतार,Avatar
क्लेयर,Claire
Danes,Danes
डांसर,Dancer
विल्सन,Wilson
हंगरी,Hungary
पहनावा,Dress
चूक,Omission
कनेक्शन,Connection
सामाजिक,Social
दबाव,Pressure
साबुन,soap
ओपेरा,Opera
वर्तमान,Present
लेखन,Writing
नि,N
स्वार्थ,Selfishness
बढ़ा,Increased
समकालीन,Contemporaneous
स्थापित,Established
सदी,century
फ्रेंच,French
बेटियों,Daughters
रिश्ते,relations
प्रेमियों,Lovers
त्रिकोण,Triangle
जाहिर,Obviously
मनोरम,Delectable
धुनों,Tunes
बुना,Woven
सितारे,Stars
चमक,Glow
अस्पष्ट,unclear
भार,The weight
चुरा,Chura
लंबाई,Length
रहता,Lived
आमंत्रित,Invited
तुंहारे,your
ठंड,Cold
पॉपकॉर्न,Popcorn
de,de
घंटों,The hours
सीमा,Limit
Szifron,Szifron
पर्यावरण,environment
समझौता,a settlement
हासिल,Achieved
डेल,Dell
दैनिक,Daily
पाब्लो,Pablo
संघीय,Federal
विभाग,Department
अनुभवों,Experiences
प्रशिक्षण,Training
स्थितियों,Situations
सारे,all
रहस्यों,Mysteries
रोमांचकारी,Thrilling
दम,power
Díaz,Díaz
Silverstein,Silverstein
एक्टर्स,Actors
धोखा,deceive
देती,Gives
मनोचिकित्सक,Psychiatrist
जिसे,Whom
सौंपा,Assigned
सत्र,The session
प्रधान,Prime
लाभ,Benefit
मिलती,Meeting
डॉक्टर,doctor
व्यक्तित्व,the personality
तब,Then
समझाया,Explained
स्वीकार्य,Acceptable
जटिलता,Complexity
दर्शाता,Demonstrate
इतिहास,History
अंक,Points
पहुंचने,To reach
रखते,Keeping
डिनर,Dinner
तुंहारा,Lonely
हँस,Laughing
गली,Lane
लाल,Red
बत्ती,The light
चांदी,silver
बर्तन,Utensil
's,'s
डी,D
रेंज,Range
निराशाजनक,Disappointing
दूसरी,The other
दुर्भाग्य,Unfortunate
सारांश,Summary
पुरानी,Old
आश्वासन,Assurance
अफ्रीका,Africa
सहारा,help
किनारे,Edge
अरब,Arab
अर्थ,meaning
तलाश,search
संकट,Difficulty
मिलेंगे,Will meet
भावनाएं,the emotions
रेत,The sand
सुख,happiness
मिलेगा,will get
बगीचे,The garden
प्लॉट,The plot
चार्ल्स,Charles
बोयर,Boyer
तुलसी,Basil
रेगिस्तान,Desert
यूसुफ,Yusuf
बातूनी,Talkative
गाइड,Guide
अरबी,Arabic
दूसरों,Others
सज्जन,gentleman
फ्रांसीसी,French
अधिकारी,Officer
मार्शल,Martial
खतरनाक,Dangerous
कुली,Porter
ब्रेंडन,Brendon
Carradine,Carradine
सर,head
नन,Nun
हेलेन,Helen
एड़ी,Heel
पहचान,recognise
कंधे,Shoulder
मठ,Monastery
ट्विटर,Twitter
क्लर्क,Clerk
बदनाम,Bad name
लवली,Lovely
अपवाद,exception
रंगीन,Colorful
शूट,Shoot
वाली,Wally
एरिजोना,Arizona
दूषित,Contaminated
कंपनी,company
चमकदार,Shiny
टमाटर,tomatoes
जला,The burn
ओ,O
साउंड,The sound
NYC,NYC
अफ्रीकी,African
हद,To the extent
अस्सी,Eighty
गए,went
ठग,the con
वाकई,Indeed
जय,Jai
वेल्स,Wells
पड़ा,Had to
पुस्तक,Book
निकाला,Removed
उत्कृष्टता,Excellence
काट,cutting
अध्याय,Chapter
कुओं,Wells
मशीनों,Machines
चलने,Walking
युक्त,Containing
आक्रमण,The invasion
19,19
वीं,Th
ताकतों,Forces
बंदूकें,Guns
बंधे,Tied up
लड़ने,Fight
उपलब्धि,Availability
तीमुथियुस,Timothy
Hines,Hines
क्षमता,Ability
अल्प,Little
नृत्य,Dance
तीव्रता,Intensity
अनुसंधान,The research
विषय,Subject
अक्षय,renewable
खन्ना,Food
विनोद,Humorous
रिश्ता,relation
निबंध,Essay
अंगूठे,Thumb
अनिल,Anil
कपूर,Kapoor
केबल,Cable
चैनल,Channel
पूंछ,Tail
intrigued,intrigued
मांग,demand
व्यथित,Distressed
संघर्ष,struggle
अंतर्दृष्टि,Insight
विद्यालय,school
समझने,To understand
मूर्खतापूर्ण,Silly
आने,To arrive
चलनेवाली,Walker
आंकड़े,Data
जानवरों,The animals
खरगोश,rabbit
बदमाशी,Naughty
नियोक्ता,Employer
दिमाग,Brain
बनता,Becomes
1940,1940
Looney,Looney
गोल्डन,Golden
संग्रह,collection
डिस्क,Disc
जैरी,Jerry
अकस्मात,all of a sudden
अदृश्य,Invisible
रसायन,Chemistry
बोतल,Bottle
हवाओं,The winds
so,so
मुताबिक,According to
होते,Were
जिसका,Whose
छिपा,The hidden
हालत,condition
पीड़ा,Pain
बचाव,Rescue
परपीड़क,Sadistic
लकीर,Streak
बिल्ली,cat
यहाँ,here
दूध,Milk
दुःस्वप्न,Nightmare
पंजा,Claw
यार,close friend
40,40
50,50
माउस,The mouse
शुक्र,Venus
तिहाई,Thirds
स्थित,Located
लगाने,Apply
तरीकों,Methods
पैरों,Feet
निशान,Mark
फर्श,Floors
आटा,Flour
नैतिकता,Ethics
कड़वाहट,Bitterness
नरम,Soft
बहती,Drifting
लिखित,written record
चमकता,Flashing
उत्तम,best
Schneider,Schneider
मोती,Pearl
हिप्पी,Hippie
आंदोलन,protest
चुकी,Wrong
पात्र,The character
राजनीतिक,Political
कार्यकर्ता,Worker
खिलाफ,Against
ब्रायन,Brian
वियतनाम,Vietnam
जुलाई,July
चौथे,The fourth
पैदा,Born
पिताजी,Father
केट,Kate
गर्भवती,Pregnant
घर,Home
चलाता,Runs
गर्मियों,The summer
सैन,San
फ्रांसिस्को,Francesco
पर्ची,slip
साठ,Sixty
कत्ल,Slaughter
वुडस्टॉक,Woodstock
बारीकी,Thin
बिस्तर,bed
प्राथमिक,Primary
चिकित्सा,Treatment
कर्मचारी,Staff
मिशेल,Michelle
बहुमुखी,Versatile
कंडक्टर,Conductor
कैमिया,Cameo
कोड,The code
वाइडस्क्रीन,Widescreen
जैक,Jack
विक्टर,Victor
चिंगारी,Spark
रोचक,Interesting
धुन,Tune
हत्याएं,The murders
ंयूनतम,The least
वर्ण,Character
महीनों,Months
विमुख,Confused
कर्स्टन,Kirsten
डंस्ट,Dunst
साइमन,Simon
Pegg,Pegg
comedic,comedic
मौके,Chances
bumble,bumble
पत्रकार,Journalist
पत्रिका,magazine
साथियों,Associates
सुपरस्टार,supper star
जलता,Burns
पुलों,Bridges
चलाने,Run
टाई,Tie
डालने,Insert
क्लेटन,Clayton
हार्डिंग,Harding
संपादक,Editor
चेतावनी,Warning
अपमान,Insult
एलिसन,Alison
ऑलसेन,Olsen
नाराज,angry
Gillian,Gillian
एंडरसन,Anderson
हिम्मत,courage
बॉस,The boss
लॉरेंस,Lawrence
डैनी,Danny
हस्टन,Huston
रचनात्मक,Constructive
बचत,Savings
बढ़ती,Increasing
सोफी,Sophie
Maes,Maes
फॉक्स,Fox
दोस्ती,friendship
सर्पिल,Spiral
शमौन,Simon
अप्रिय,Unpleasant
कष्टप्रद,Annoying
जड़,The root
पुल,The bridge
च,F
बुद्धि,wisdom
विनोदी,Sportive
unlikable,unlikable
आयामी,Dimensional
मसाला,Spice
रोमांटिक,Romantic
पहेली,puzzle
विफल,Failed
९०,9 0
कभार,Sometime
चोट,Injury
अनुशंसित,Recommended
चचेरे,Cousins
नेत्रहीन,visually impaired
संवेदनशीलता,Sensitivity
खरोंच,scratch
परिप्रेक्ष्य,Perspective
६०,60
निष्क्रिय,Inactive
फीका,Fade
हल्का,Light
नाव,The boat
मशहूर,Famous
हस्तियों,Celebrities
चापलूसी,Flattery
बिंग,Bing
Crosby,Crosby
कथित,Alleged
जेरी,Jerry
किए,Done
अंतहीन,Endless
पाइप,Pipe
फ्राइंग,Frying
बेसबॉल,Baseball
बुच,Butch
गुच्छा,Bunch
नेटवर्क,The network
करनी,Do not
La,La
दोपहर,afternoon
चित्रों,Pictures
अभिनव,Innovative
शर्म,shame
डालता,Puts
आराध्य,Adorable
रेखा,line
पुरुष,male
मार्क्स,Marx
शेर,Lion
मकई,Corn
एनीमेशन,Animation
बेकार,waste
लौटने,Returning
टॉमी,Tommy
मैट,Matte
डिलन,Dillon
जुआ,Gambling
कलाई,Wrist
फेंकने,To throw
सीखा,Learned
सनकी,mad
कब्र,Grave
रो,Cry
टिप्पणी,Comment
ब्रूस,Bruce
Dern,Dern
अनजान,Unknown
हमारी,Our
रे,Ray
बो,Bo
दिलाया,Got drawn
नस्लवाद,Racism
बदसूरत,Unattractive
क्लब,The club
बुलाया,Called
संघि,Sanghi
नस्लवादी,Racialist
सुनना,Listen
सुन,Listen
रूम,The room
कैरेक्टर्स,Characters
पढ़ाई,studies
पतले,Thin
खेत,Farm
Diane,Diane
लेन,Lane
थोड़े,A little
पीने,Drink
मेक्सिको,Mexico
फिरौती,Ransom
बलों,Forces
रोक,Stop
विलियंस,The villains
तलवार,sword
चलानेवाला,Driver
रचना,composition
रुको,Wait
Denzel,Denzel
वाशिंगटन,Washington
मिकी,Mikey
लकर,Licker
संपादन,Edit
सुनिश्चित,make sure
एलेन,Allen
jodelle,jodelle
ferland,ferland
नामित,Nominated
एमी,Amy
मनोनीत,Nominated
अप्रैल,April
२००१,2001
सिटी,City
नामांकन,Nomination
मरमेड,Mermaid
स्टोर,Store
पा,Pa
भ्रम,a myth
मनोवैज्ञानिक,Psychologist
आग्रह,Insistence
कुर्सी,chair
बैठो,have a sit
बरगलाया,Garbled
अपराधियों,Criminals
खामी,Weakness
निरंतरता,Continuity
कमी,Deficiency
जस्टिन,Justin
Timberlake,Timberlake
Cary,Cary
Dylan,Dylan
McDermott,McDermott
बुनियादी,Basic
भ्रष्ट,Corrupt
उजागर,Exposed
कूल,Cool
फ्रीमैन,Freeman
संरक्षक,Guardian
जितना,As much as
केविन,Kevin
पदार्थ,matter
हैरानी,Astonishment
homicidal,homicidal
cheesiness,cheesiness
catchphrases,catchphrases
अनुचित,inappropriate
अनुक्रम,Sequence
सभ्य,Decent
दिलचस्पी,Interest
सिनेमाघरों,Theater
कचरा,Garbage
कल्पनाशील,Imaginative
मुक्त,Free
करीबी,Close
आदर्श,Ideal
शर्तों,The terms
दोषी,Guilty
बंधक,Mortgage
विशेषज्ञ,specialist
गिब्सन,Gibson
संतुलित,Balanced
Steckert,Steckert
नाहक,Undesired
अंततः,Eventually
